,company_id,name,description,company_size,state,country,city,zip_code,address,url
18,1088,NXP Semiconductors,"NXP Semiconductors N.V. (NASDAQ: NXPI) enables a smarter, safer and more sustainable world through innovation. As a world leader in secure connectivity solutions for embedded applications, NXP is pushing boundaries in the automotive, industrial & IoT, mobile, and communication infrastructure markets. Built on more than 60 years of combined experience and expertise, the company has approximately 34,500 employees in more than 30 countries and posted revenue of $13.21 billion in 2022. Find out more at www.nxp.com.

Privacy Policy: https://www.nxp.com/company/about-nxp/privacy-policy-for-social-media-pages:PRIVACY-POLICY-SOCIAL-MEDIA",7.0,Noord-Brabant,NL,Eindhoven,5656 AG,High Tech Campus 60,https://www.linkedin.com/company/nxp-semiconductors
27,1207,Johnson & Johnson,"At Johnson & Johnson, we believe health is everything. As a focused healthcare company, with expertise in Innovative Medicine and MedTech, we’re empowered to tackle the world’s toughest health challenges, innovate through science and technology, and transform patient care.  ​

All of this is possible because of our people. We’re passionate innovators who put people first, and through our purpose-driven culture and talented workforce, we are stronger than ever. ​

Learn more at https://www.jnj.com. Community Guidelines: http://www.jnj.com/social-media-community-guidelines",7.0,NJ,US,New Brunswick,08903,0,https://www.linkedin.com/company/johnson-&-johnson
29,1224,US Army Corps of Engineers,"U.S. Army Corps of Engineers Mission: 
Provide vital public engineering services in peace and war to strengthen our Nation’s security, energize the economy, and reduce risks from disasters. 

U.S. Army Corps of Engineers Vision: 
A GREAT engineering force of highly disciplined people working with our partners through disciplined thought and action to deliver innovative and sustainable solutions to the Nation’s engineering challenges.",7.0,DC,US,Washington,20314,441 G Street NW,https://www.linkedin.com/company/us-army-corps-of-engineers
44,1292,The Walt Disney Company,"From classic animated features and exhilarating theme park attractions to cutting edge sports coverage, and the hottest shows on television, The Walt Disney Company has been making magic since 1923, creating unforgettable stories that connect with audiences around the world. And we’re just getting started!

The key to our success…. The Cast, Crew, Imagineers and Employees who honor Disney’s rich legacy by stretching the bounds of imagination to create the never-before-seen, bringing unparalleled entertainment experiences to people of all ages. Begin a career that delivers unparalleled creative content and experiences to audiences around the world and just imagine the stories you could be part of…

What is #LifeAtDisney like? It’s a series of magical moments with cast members and employees developing and telling our stories in the most innovative ways. Whether it’s a day spent as a Disney VoluntEAR, or celebrating the release of a new interactive experience, retail product or movie, our days are filled with the knowledge that we are creating entertainment experiences the whole family can enjoy. Follow @DisneyCareers on Facebook, Twitter and Instagram for a peek behind-the-curtain, and discover how you could connect to a world of stories with Disney!",7.0,CA,US,Burbank,91521,The Walt Disney Company,https://www.linkedin.com/company/the-walt-disney-company
52,1360,National Computer Systems,"WHY CHOOSE NCS ?
Top 5 reasons why clients choose NCS as their partners
Work Force Specialist
While we provide highly qualified employees, our values lies in our stategic and innovative workforce management
Seamless Coordination with your Hiring Managers
We act as support team for your managers. Whether you need last minute fill-ins, or resource to manage your temporary needs, we can provide a seamless solution that gives the support you need, when and where you need it.
Most Cost Effective
We help to reduce overhead. You can trim labor costs, reduce benefits expenses and greatly limit overtime expenses.
Access to Experienced Candidates
By offering competitive benefits and wages, we're able to attract the most qualified and proven talent.
To ensure our candidates are good fit for your position, each employee is pre-screened and qualified through NCS's 10-steps review process.

We are here to help you
When you need something, we are there to address your concerns and help with the any last minutes needs. We pride ourselves on our responsiveness and personal service.",3.0,0,0,0,0,0,https://www.linkedin.com/company/national-computer-systems
55,1377,Fujitsu Network Communications,"Fujitsu Network Communications, Inc., is a leading provider of digital transformation solutions for network operators, service providers, and content providers worldwide. We combine best-in-class hardware, software, and services with multivendor expertise to enable cost savings, faster services delivery, and improved network performance. Working closely with our customers and ecosystem partners, we design, build, operate, and maintain better networks for the connected world.",5.0,Texas,US,Richardson,75082,2801 Telecom Parkway,https://www.linkedin.com/company/fujitsu-network-communications
107,1632,Stanford Children's Health | Lucile Packard Children's Hospital Stanford,"Stanford Medicine Children’s Health, with Lucile Packard Children's Hospital Stanford at its center, is the Bay Area's largest  health care system—and one of the few in the country—exclusively dedicated to pediatric and obstetric care. Our physicians and health care teams offer comprehensive clinical services, from treatments for rare and complex conditions to well-child care at more than 65 locations across Northern California and more than 85 locations in the U.S. Western region.

We’re honored to be ranked in all 10 pediatric specialties by U.S. News & World Report for the third consecutive year. Along with Stanford Health Care and the Stanford School of Medicine, we are part of Stanford Medicine, an ecosystem harnessing the potential of biomedicine through collaborative research, education, and clinical care to improve health outcomes across the world. 

Digital Policy: http://bit.ly/digitalpolicy
Notice of Nondiscrimination: http://bit.ly/2e3UkCb",5.0,CA,US,Palo Alto,94304,725 Welch Road,https://www.linkedin.com/company/lucile-packard-children%27s-hospital
118,1666,Intuit,"Intuit is a global technology platform that helps our customers and communities overcome their most important financial challenges. Serving millions of customers worldwide with TurboTax, QuickBooks, Credit Karma and Mailchimp, we believe that everyone should have the opportunity to prosper and we work tirelessly to find new, innovative ways to deliver on this belief.

We encourage conversations on this page and will not delete comments that follow our terms of use. In order to keep this a safe community, the below posts may be removed: Repeated posts of the same content, spam or posts from fake accounts or profiles, offensive language or material, threats to others in the community, posts deliberately aimed to have a negative effect on the community or conversations. ",7.0,California,US,Mountain View,94043,2700 Coast Ave,https://www.linkedin.com/company/intuit
203,2193,Canon Solutions America,"Canon Solutions America is a Canon U.S.A. Company providing integrated systems technology that comprise one of the strongest solutions portfolios in the document management industry. Our unique and successful heritage is built upon the ability to offer unprecedented levels of service and support.

As a leader in the office equipment industry, Canon Solutions America can show you levels of productivity and performance that once seemed unattainable. Whether it's through our world-renowned networked office systems, graphics systems, copiers, printers, scanners, or fax machines, we provide the technology and support you need to move into the future.

Canon Solutions America is committed to customer satisfaction. Our goal is to continually provide best in class sales, service, and support in order to ensure the level of satisfaction you deserve.

",6.0,NY,US,Melville,11747,One Canon Park,https://www.linkedin.com/company/canon-solutions-america
210,2227,Novo Nordisk,"Novo Nordisk is a leading global healthcare company, founded in 1923 and headquartered in Denmark. Our purpose is to drive change to defeat serious chronic diseases, built upon our heritage in diabetes. We do so by pioneering scientific breakthroughs, expanding access to our medicines, and working to prevent and ultimately cure disease. Novo Nordisk employs about 63,400 people in 80 countries and markets its products in around 170 countries. For more information visit novonordisk.com.

This page isn’t intended for discussions about products.  As such, postings or comments that contain product discussions may be removed. This page is for discussions about Novo Nordisk and its subsidiaries and the initiatives and projects we are involved in. While we welcome everyone to make comments, we reserve the right to remove those that are off-topic, abusive or intended to spam. 

Any questions specific to products should be made to your healthcare professional. If you wish to file an adverse drug reaction please contact Novo Nordisk’s office in the country you live in: 
https://www.novonordisk.com/contact-us/find-local-information.html

For other customer complaints, please contact us here: 
https://www.novonordisk.com/contact-us.html

Please keep in mind that Novo Nordisk A/S and its subsidiaries work within a highly regulated industry. Therefore, comments that pertain to legal matters or regulatory issues may be removed. 

Comments contained on this site come from members of the public, and do not necessarily reflect the views of Novo Nordisk A/S. Novo Nordisk A/S does not endorse or approve any content added by other LinkedIn users.

Learn more about our privacy disclaimer and community guidelines here: https://www.novonordisk.com/data-privacy-and-user-rights/social-media-privacy-disclaimer.html",7.0,0,DK,Bagsværd,2880,Novo Alle,https://www.linkedin.com/company/novo-nordisk
