,company_id,industry
18,33218,Staffing and Recruiting
36,7790573,Business Consulting and Services
49,24803,Staffing and Recruiting
50,13345578,IT Services and IT Consulting
57,54077952,Motor Vehicle Manufacturing
60,63155,Gambling Facilities and Casinos
134,708917,Financial Services
154,22355,Higher Education
160,860999,IT Services and IT Consulting
195,3541916,Staffing and Recruiting
212,74571418,Retail Apparel and Fashion
217,726206,Individual and Family Services
223,10500730,Food and Beverage Services
250,18921,Staffing and Recruiting
276,92188790,Hospitality
302,4594437,Motor Vehicle Manufacturing
307,122451,Staffing and Recruiting
309,62101,Banking
334,219963,Government Administration
337,116025,Oil and Gas
342,74075477,Staffing and Recruiting
370,24157,Financial Services
371,5348965,Medical Equipment Manufacturing
374,22134,IT Services and IT Consulting
382,82284641,Construction
383,1996803,Truck Transportation
405,2061386,Armed Forces
408,13655403,Human Resources Services
437,87089640,Retail
450,163761,Retail
469,996149,Real Estate
478,1211063,Staffing and Recruiting
494,11266342,Hospitals and Health Care
513,8653,Law Practice
545,16388,IT Services and IT Consulting
547,63563,Staffing and Recruiting
585,33247784,Insurance
602,8498368,Non-profit Organizations
607,47664328,Telecommunications
610,5399183,Wellness and Fitness Services
616,1339209,Entertainment Providers
618,165461,Hospitals and Health Care
627,81958632,Wholesale Building Materials
660,7684,Software Development
678,3738912,Retail
681,33711,Environmental Services
689,35634312,Oil and Gas
704,3719923,Pharmaceutical Manufacturing
711,35452956,Insurance
713,96635463,Advertising Services
718,166209,Hospitals and Health Care
741,6460,Computer and Network Security
762,40783,Staffing and Recruiting
777,79482021,IT Services and IT Consulting
783,2227,Pharmaceutical Manufacturing
790,33269,Wholesale
796,19076380,Staffing and Recruiting
827,101169414,Staffing and Recruiting
856,10540544,Staffing and Recruiting
862,200685,IT Services and IT Consulting
865,8047188,IT Services and IT Consulting
929,71901687,IT Services and IT Consulting
965,51688908,Retail
968,5848,Utilities
992,3264,Insurance
1004,79135,Wellness and Fitness Services
1006,79809662,Software Development
1014,348976,Human Resources Services
1023,225930,Construction
1029,30498,Retail
1058,1511215,Civil Engineering
1066,2056643,Hospitals and Health Care
1068,2788204,IT Services and IT Consulting
1072,27625,Hospitals and Health Care
1085,1856927,Retail
1139,26231,Insurance
1162,311559,Hospitals and Health Care
1168,6486571,Education Administration Programs
