,company_id,employee_count,follower_count,time_recorded
18,33218,191,36335,1712346173
36,7790573,16,233,1712346248
49,24803,130,60572,1712346323
50,13345578,279,85916,1712346323
57,54077952,74,686,1712346397
60,63155,600,1898,1712346397
134,708917,425,25603,1712346769
154,22355,2345,58037,1712346843
160,860999,9308,122691,1712346843
195,3541916,89,15256,1712347066
212,74571418,675,92546,1712347141
217,726206,1009,11010,1712347141
223,10500730,11,480,1712347141
251,18921,626,94717,1712347290
277,92188790,3,52,1712347439
303,4594437,5,73,1712347587
308,122451,668,181848,1712347661
310,62101,1366,8782,1712347661
335,219963,1114,9709,1712347746
338,116025,131,4379,1712347820
343,74075477,2,1422,1712347820
371,24157,1294,23485,1712347968
372,5348965,148,13663,1712347968
375,22134,447,8880,1712347968
383,82284641,5,67,1712348042
384,1996803,314,15989,1712348042
406,2061386,2740,15978,1712348116
409,13655403,198,25020,1712348116
438,87089640,11100,229619,1712348264
451,163761,79547,103282,1712348339
470,996149,113,6266,1712348487
479,1211063,566,5822,1712348487
495,11266342,1674,12695,1712348636
514,8653,1861,21460,1712348710
546,16388,3578,579238,1712348858
548,63563,25,69864,1712348933
586,33247784,8558,120076,1712349155
603,8498368,33,57,1712349229
608,47664328,51140,480917,1712349229
611,5399183,171,966,1712349229
617,1339209,10148,111444,1712349302
619,165461,4594,55523,1712349302
628,81958632,978,35285,1712349376
661,7684,21784,267016,1712349527
679,3738912,3295,42433,1712349675
682,33711,1415,36737,1712349675
690,35634312,132,2533,1712349675
705,3719923,25,453,1712349824
712,35452956,182,812,1712349824
714,96635463,4,36,1712349824
719,166209,19910,144677,1712349898
742,6460,13954,938459,1712350047
763,40783,207,168489,1712350197
778,79482021,59,14621,1712350271
784,2227,55798,1857158,1712350271
791,33269,2162,26604,1712350347
797,19076380,30,36510,1712350347
828,101169414,0,5,1712350569
857,10540544,63,32446,1712350792
863,200685,242,14681,1712350866
866,8047188,83,27148,1712350866
930,71901687,16,1105,1712351311
966,51688908,1207,9389,1712351459
