salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
13,3887473087,80000.0,,75000.0,YEARLY,USD,BASE_SALARY
18,3887467990,80.0,,60.0,HOURLY,USD,BASE_SALARY
65,3884433143,,53000.0,,YEARLY,USD,BASE_SALARY
70,3884428699,300000.0,,90000.0,YEARLY,USD,BASE_SALARY
96,3887474156,80000.0,,70000.0,YEARLY,USD,BASE_SALARY
101,3884433290,65131.89,,60331.89,YEARLY,USD,BASE_SALARY
108,3884915172,50000.0,,40000.0,YEARLY,USD,BASE_SALARY
126,3884436043,,70000.0,,YEARLY,USD,BASE_SALARY
145,3884435045,85000.0,,55000.0,YEARLY,USD,BASE_SALARY
168,3887475125,35.0,,33.0,HOURLY,USD,BASE_SALARY
187,3884430673,106496.0,,65603.2,YEARLY,USD,BASE_SALARY
206,3887474751,27.0,,23.0,HOURLY,USD,BASE_SALARY
210,3887482515,85000.0,,73500.0,YEARLY,USD,BASE_SALARY
214,3884428994,,150000.0,,YEARLY,USD,BASE_SALARY
242,3887476796,131000.0,,73000.0,YEARLY,USD,BASE_SALARY
263,3887477383,210000.0,,170000.0,YEARLY,USD,BASE_SALARY
276,3887474885,263350.0,,152000.0,YEARLY,USD,BASE_SALARY
304,3884439191,,77.0,,HOURLY,USD,BASE_SALARY
329,3884440092,48000.0,,45000.0,YEARLY,USD,BASE_SALARY
335,3884436197,38.42,,17.46,HOURLY,USD,BASE_SALARY
397,3884436765,18.0,,16.0,HOURLY,USD,BASE_SALARY
418,3884435808,130000.0,,100000.0,YEARLY,USD,BASE_SALARY
426,3887498742,,25.0,,HOURLY,USD,BASE_SALARY
430,3884430793,90916.8,,77272.0,YEARLY,USD,BASE_SALARY
447,3884436942,175000.0,,120000.0,YEARLY,USD,BASE_SALARY
457,3887702161,65.0,,55.0,HOURLY,USD,BASE_SALARY
478,3884435949,300000.0,,150000.0,YEARLY,USD,BASE_SALARY
501,3884436663,87520.0,,65640.0,YEARLY,USD,BASE_SALARY
633,3887717163,150000.0,,110000.0,YEARLY,USD,BASE_SALARY
644,3884441131,123625.0,,77265.0,YEARLY,USD,BASE_SALARY
675,3884437718,300000.0,,150000.0,YEARLY,USD,BASE_SALARY
689,3884434786,27.82,,21.0,HOURLY,USD,BASE_SALARY
697,3884439201,,26.0,,HOURLY,USD,BASE_SALARY
713,3884432630,78270.0,,65603.0,YEARLY,USD,BASE_SALARY
715,3884916952,70000.0,,60000.0,YEARLY,USD,BASE_SALARY
716,3884449075,203550.0,,118000.0,YEARLY,USD,BASE_SALARY
718,3884433381,55.0,,50.0,HOURLY,USD,BASE_SALARY
733,3887712929,65000.0,,50000.0,YEARLY,USD,BASE_SALARY
779,3884438526,142166.0,,88854.0,YEARLY,USD,BASE_SALARY
796,3884429892,98400.0,,65600.0,YEARLY,USD,BASE_SALARY
848,3887712292,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
849,3887719384,,17.0,,HOURLY,USD,BASE_SALARY
858,3887719363,,6337.0,,MONTHLY,USD,BASE_SALARY
877,3884434384,91000.0,,10000.0,YEARLY,USD,BASE_SALARY
888,3887498770,80000.0,,75000.0,YEARLY,USD,BASE_SALARY
889,3884943082,124300.0,,96000.0,YEARLY,USD,BASE_SALARY
961,3884434939,80.0,,75.0,HOURLY,USD,BASE_SALARY
972,3887711431,105000.0,,95000.0,YEARLY,USD,BASE_SALARY
981,3884438527,82867.0,,55245.0,YEARLY,USD,BASE_SALARY
986,3884434884,26.09,,20.08,HOURLY,USD,BASE_SALARY
988,3884439588,20.0,,18.0,HOURLY,USD,BASE_SALARY
1018,3887495643,135000.0,,83375.0,YEARLY,USD,BASE_SALARY
1027,3887712954,150000.0,,130000.0,YEARLY,USD,BASE_SALARY
1031,3884438596,,74173.0,,YEARLY,USD,BASE_SALARY
1042,3887700647,26.0,,22.0,HOURLY,USD,BASE_SALARY
1076,3887721010,90000.0,,75000.0,YEARLY,USD,BASE_SALARY
1089,3884440685,120000.0,,100000.0,YEARLY,USD,BASE_SALARY
